date,open,high,low,close,volume,log_return,vol_5,vol_20,vol_60,ma_5,ma_20,log_volume,vix,rf_rate,vix_change,rf_daily,fomc_day,fomc_window
2021-09-27,165.0,167.4,164.61,166.98,13220871,0.0238784752914398,0.1990156050398066,0.2354827744727346,0.2232289195334587,160.018,158.9115,16.397307275240184,18.76,0.0009,1.0100000000000016,3.5714285714285718e-06,0,0
2021-09-28,167.7,169.3,165.66,166.08,13387886,-0.0054044447883304,0.2308524448217594,0.227970198629099,0.2230522769838327,162.638,159.19350000000003,16.40986082618896,23.25,0.0009,4.489999999999998,3.5714285714285718e-06,0,0
2021-09-29,166.21,166.9,165.04,165.95,7777078,-0.0007830618115402,0.2581493624540032,0.2274790912978923,0.2199272420065371,164.64600000000002,159.49349999999998,15.866691247201173,22.56,0.0009,-0.6900000000000013,3.5714285714285718e-06,0,0
2021-09-30,166.92,166.99,162.79,163.69,13168016,-0.0137121430097202,0.2343731842713538,0.2339072537600871,0.2220719193102642,165.148,159.692,16.393301416965077,23.14,0.0009,0.5800000000000018,3.5714285714285718e-06,0,0
2021-10-01,164.0,168.3,163.6,167.13,11284976,0.0207975575445705,0.2629843799888335,0.2438561220639279,0.2223045770074866,165.96599999999998,160.02550000000002,16.23898284151463,21.15,0.0009,-1.990000000000002,3.5714285714285718e-06,0,0
2021-10-04,166.97,170.437,165.73,166.95,14120044,-0.0010775863111703,0.2026002079353351,0.2422968682598323,0.2135034166361689,165.95999999999998,160.39849999999998,16.463105906171823,22.96,0.0009,1.8100000000000025,3.5714285714285718e-06,0,0
2021-10-05,167.21,170.14,166.67,168.66,12292877,0.0101904877568321,0.2067735654162605,0.2433620758895975,0.2126095337965025,166.476,160.871,16.324530546905123,21.3,0.0009,-1.66,3.5714285714285718e-06,0,0
2021-10-06,167.99,169.1,166.0,169.02,8692607,0.0021321969698408,0.2043612804883776,0.2418401804657846,0.2099598687423899,167.09,161.397,15.977983452250571,21.0,0.001,-0.3000000000000007,3.968253968253968e-06,0,0
2021-10-07,171.2,171.51,169.54,170.09,10195443,0.0063106576096641,0.1346343965010991,0.2420628140871064,0.2099589630589073,168.36999999999998,161.942,16.137451413719532,19.54,0.001,-1.4600000000000009,3.968253968253968e-06,0,0
2021-10-08,170.02,171.34,169.295,170.22,8190144,0.0007640093228146,0.0722415898643949,0.2358930538148703,0.2099603221351703,168.988,162.58499999999998,15.918442038092266,18.77,0.0009,-0.7699999999999996,3.5714285714285718e-06,0,0
2021-10-11,170.8,171.29,166.46,166.64,12154737,-0.0212559210960984,0.1944098650153696,0.2475700886615005,0.2090690524330216,168.926,162.924,16.31322952831193,20.0,0.0009,1.2300000000000004,3.5714285714285718e-06,0,0
2021-10-12,165.75,166.6898,164.77,165.36,13032633,-0.0077108815792035,0.173558400771031,0.2394949141151515,0.1972711226940726,168.26600000000002,163.33849999999998,16.382967000828415,19.85,0.001,-0.1499999999999985,3.968253968253968e-06,0,0
2021-10-13,164.07,165.41,160.6,161.0,22753485,-0.0267205503890499,0.2235192080357827,0.2602642685911825,0.202783916593678,166.66199999999998,163.48049999999998,16.940228878442518,18.64,0.0011,-1.2100000000000009,4.365079365079366e-06,0,0
2021-10-14,161.75,164.01,160.06,163.47,15180727,0.0152251222786537,0.2682812953055417,0.2650975707223511,0.200786551490411,165.33800000000002,163.74949999999998,16.535537220748083,16.86,0.001,-1.7800000000000011,3.968253968253968e-06,0,0
2021-10-15,165.35,167.17,164.14,166.61,14267441,0.0190262646778609,0.3298654989269732,0.2715119132880086,0.2019825650387045,164.616,164.196,16.473490646111976,16.3,0.0012,-0.5599999999999987,4.7619047619047615e-06,0,0
2021-10-18,166.48,168.6084,165.91,166.55,12672909,-0.0003601873012887,0.2934981397155686,0.242235368779342,0.2018899254812988,164.598,164.8755,16.354977123418205,16.31,0.0011,0.009999999999998,4.365079365079366e-06,0,0
2021-10-19,167.4,168.65,166.58,168.57,8053949,0.0120555291525276,0.2947840160318772,0.2432381769858387,0.202757763744802,165.24,165.655,15.901673088116224,15.7,0.0011,-0.6099999999999994,4.365079365079366e-06,0,0
2021-10-20,168.3,170.87,167.46,170.84,8185565,0.0133763521810493,0.1162068798240147,0.2397156826751768,0.2040362971243344,167.208,166.4015,15.917882795116055,15.49,0.001,-0.209999999999999,3.968253968253968e-06,0,0
2021-10-21,170.755,171.3293,168.68,169.5,8415166,-0.0078745191527608,0.1749748862909945,0.2179335889246502,0.2050388626815926,168.414,166.81750000000002,15.945546112091025,15.01,0.0012,-0.4800000000000004,4.7619047619047615e-06,0,0
2021-10-22,170.03,172.09,169.7,171.78,8817895,0.0133616615175737,0.1543517080965483,0.2190628055528017,0.2059479495866801,169.448,167.2545,15.992293737367117,15.43,0.0013,0.4199999999999999,5.158730158730158e-06,0,0
2021-10-25,172.71,172.96,170.48,170.94,10159202,-0.0049019706002067,0.1690200041584748,0.2053991438866901,0.2054059153612102,170.326,167.4525,16.133890453722838,15.24,0.0014,-0.1899999999999995,5.555555555555557e-06,0,0
2021-10-26,171.0,172.4902,170.54,171.4,8015067,0.0026873884258075,0.1578062949205578,0.2039662532190806,0.2050275971592171,170.892,167.7185,15.896833703317114,15.98,0.0014,0.7400000000000002,5.555555555555557e-06,0,0
2021-10-27,170.32,170.7,167.34,167.83,9846993,-0.0210484438435914,0.2026152565585536,0.2191923888414224,0.2094899130657269,170.29000000000002,167.8125,16.102676687353277,16.98,0.0012,1.0,4.7619047619047615e-06,0,0
2021-10-28,168.3,170.51,167.96,170.36,7212937,0.0149622827349248,0.2343264606414918,0.2180528852981532,0.2096407916469715,170.46200000000002,168.14600000000002,15.791386777217804,16.53,0.0015,-0.4499999999999993,5.9523809523809525e-06,0,0
2021-10-29,171.18,172.24,169.39,169.89,8140070,-0.0027626762611895,0.207177653427281,0.2068608148656352,0.2086911430238304,170.084,168.284,15.912309337450347,16.26,0.0015,-0.2699999999999996,5.9523809523809525e-06,0,0
2021-11-01,172.04,172.33,169.005,169.8,7363210,-0.0005298949165762,0.205923529504206,0.2068033433356005,0.2014106503072418,169.85600000000002,168.4265,15.812006536927433,16.41,0.0015,0.1499999999999985,5.9523809523809525e-06,0,0
2021-11-02,169.8,171.69,168.92,170.47,7072025,0.0039380542855865,0.2076480500239448,0.2042313150315495,0.2014249063307196,169.67000000000002,168.517,15.771657418361242,16.03,0.0015,-0.379999999999999,5.9523809523809525e-06,0,0
2021-11-03,170.13,171.13,169.15,170.53,8402685,0.0003519061619893,0.1112555449304268,0.204144257167292,0.2001569761058974,170.21,168.59250000000003,15.944061855595791,15.1,0.0017,-0.9300000000000016,6.746031746031747e-06,0,0
2021-11-04,170.0,170.2,166.4901,168.29,9574152,-0.0132225525998409,0.103028568195537,0.2084297352446386,0.201017931582119,169.796,168.5025,16.074577525140295,15.44,0.0014,0.3399999999999998,5.555555555555557e-06,0,0
2021-11-05,168.9,170.09,167.41,168.05,7975570,-0.0014271275538671,0.1032052860464706,0.2083941537183709,0.200954506463234,169.42800000000005,168.39399999999998,15.891893677435316,16.48,0.0014,1.040000000000001,5.555555555555557e-06,0,0
2021-11-08,169.05,170.92,168.74,169.06,6413707,0.0059921273296668,0.1189516388212399,0.1946359993768355,0.199702546272283,169.28,168.515,15.673947976869703,17.22,0.0016,0.7399999999999984,6.349206349206349e-06,0,0
2021-11-09,167.35,168.47,166.595,167.78,7620477,-0.007600084082633,0.1177458494194698,0.1945727255465525,0.1998762513945108,168.74200000000002,168.63600000000002,15.846349524128826,17.78,0.0014,0.5600000000000023,5.555555555555557e-06,0,0
2021-11-10,167.45,168.95,167.09,167.62,6999214,-0.0009540847473884,0.1156229518907461,0.1657229553059483,0.1980608153619303,168.16,168.967,15.761308415000787,18.73,0.0017,0.9499999999999992,6.746031746031747e-06,0,0
2021-11-11,167.52,168.68,166.9,167.61,5815267,-5.966053159293008e-05,0.0766834011886606,0.1582770949305712,0.1969265007979961,168.024,169.174,15.575997258615974,17.66,0.0017,-1.0700000000000005,6.746031746031747e-06,0,0
2021-11-12,167.65,167.74,165.72,166.86,7974426,-0.0044847146652386,0.0811749207608697,0.1446736888395499,0.196272054681034,167.786,169.1865,15.891750229123232,16.29,0.0017,-1.370000000000001,6.746031746031747e-06,0,0
2021-11-15,167.21,167.785,166.0,166.56,6492463,-0.0017995326072697,0.0486933294896191,0.1448212496778909,0.1963472366372141,167.286,169.187,15.686152523619477,16.49,0.0018,0.1999999999999993,7.142857142857143e-06,0,0
2021-11-16,167.06,167.07,165.12,165.36,9706145,-0.0072306894931458,0.0465065988844191,0.1396205130177399,0.1956169307308545,166.80200000000002,169.0265,16.088269748048567,16.37,0.0017,-0.1199999999999974,6.746031746031747e-06,0,0
2021-11-17,165.21,165.56,163.39,164.47,9909576,-0.0053967326203352,0.0454437174429426,0.1295940193069759,0.1957212049251128,166.17200000000005,168.708,16.109012120325275,17.11,0.0018,0.7399999999999984,7.142857142857143e-06,0,0
2021-11-18,164.39,164.85,162.56,163.05,8123567,-0.0086712805178494,0.0418390848628673,0.1301110363501999,0.1922615762542695,165.26000000000002,168.3855,15.910279901394423,17.59,0.0018,0.4800000000000004,7.142857142857143e-06,0,0
2021-11-19,161.3,162.11,159.45,160.92,12193634,-0.0131495551537408,0.066392344659227,0.1225726239288741,0.1939082986861413,164.072,167.84250000000003,16.316424570238087,17.91,0.0018,0.3200000000000003,7.142857142857143e-06,0,0
2021-11-22,164.16,165.98,162.99,164.35,14551672,0.021090953028641,0.2157202348993753,0.1496949447049248,0.1980506802370201,163.63,167.513,16.493216459069004,19.17,0.002,1.2600000000000016,7.936507936507936e-06,0,0
2021-11-23,165.5,168.555,165.37,168.28,12362344,0.0236309586120918,0.2771450771616863,0.1747009239209169,0.2008468188900221,164.214,167.357,16.33016563602661,19.38,0.0021,0.2099999999999973,8.333333333333332e-06,0,0
2021-11-24,168.46,169.44,166.44,166.96,9629790,-0.0078749959533748,0.2826611318269572,0.1602272065555666,0.2014830662050584,164.712,167.3135,16.080371976682954,18.58,0.0024,-0.8000000000000007,9.523809523809525e-06,0,0
2021-11-26,162.14,162.65,158.82,161.93,13619276,-0.0305901196835658,0.3692683395250662,0.1828237850190841,0.2114258600637883,164.488,166.892,16.42699670015087,28.62,0.002,10.040000000000004,7.936507936507936e-06,0,0
2021-11-29,163.31,164.78,159.817,161.23,12104369,-0.004332226109731,0.3566512011346172,0.1829342832679655,0.2114275456916242,164.55,166.459,16.30907701977547,22.96,0.0021,-5.66,8.333333333333332e-06,0,0
2021-11-30,159.155,160.63,158.29,158.83,18922616,-0.0149974691285845,0.314144006091918,0.1878874494474043,0.2133205903224939,163.446,165.9105,16.75586837841487,27.19,0.0024,4.23,9.523809523809525e-06,0,0
